topo_m,base_m,espessura_md_m,amostras,phie_media,sw_media,vcl_media,atinge_espessura_minima
3225.9760009,3228.7120009,2.7359999999998763,18,0.5123089625491761,0.2696848358926607,0.055492482362043904,True
3271.8800009,3274.3120009,2.431999999999789,16,0.5054046497371933,0.1634879520362917,0.10272630651927843,True
3269.1440009,3271.4240009,2.2800000000002,15,0.5054716644674794,0.1413860776819572,0.0944172498916436,True
3236.3120009,3238.2880009,1.9760000000001128,13,0.5175757724192925,0.15571220621512652,0.09883861786282631,True
3262.1520009,3263.9760009,1.8240000000000691,12,0.4686889975342885,0.2337063814395721,0.09514535268127373,True
3241.1760009,3242.6960009,1.5199999999999818,10,0.4744910873888444,0.27362220769428447,0.03620186487834416,True
3258.5040009,3259.5680009,1.0639999999998508,7,0.3793795184777573,0.3587091102491136,0.11445512317257135,True
3243.6080008999998,3244.3680009,0.7600000000002183,5,0.3538130739377331,0.48526845357340037,0.178549696605,False
503.65600085,504.26400085,0.6080000000000041,4,0.5388274774921286,0.4740145914157154,0.07126146157499938,False
507.45600085,508.06400084999996,0.6079999999999472,4,0.5196107374675039,0.4768602470210946,0.09038094679374853,False
499.55200085,500.16000084999996,0.6079999999999472,4,0.5118182763174749,0.4833950842140333,0.07354980309791705,False
506.54400085,507.00000085,0.4560000000000173,3,0.5325737458013652,0.47277491637425495,0.06928270128055619,False
501.98400085000003,502.44000085000005,0.4560000000000173,3,0.5387252497116056,0.4669403434620014,0.07643911573611288,False
3232.2080009,3232.5120009,0.3040000000000873,2,0.3305795895358669,0.4486640862993247,0.0777688821166667,False
511.25600084999996,511.56000085,0.30400000000003047,2,0.5592212773977642,0.47826064749498015,0.09785251617500135,False
498.79200085,499.09600085,0.3039999999999736,2,0.5159386308181138,0.48203737076735054,0.11089857419166614,False
3238.4400009,3238.5920009,0.15200000000004366,1,0.30352591465910045,0.4707406186355975,0.38941726684166666,False
3245.7360009,3245.8880009,0.15200000000004366,1,0.3433130994465105,0.4998096962444422,0.20116039911666667,False
2699.7520009,2699.9040009,0.15200000000004366,1,0.49973043892829816,0.4933579661979422,0.008705600099999995,False
512.77600085,512.92800085,0.15200000000004366,1,0.6061532891121579,0.46456990776545837,0.08018334706666667,False
500.92000084999995,501.07200085,0.15200000000004366,1,0.514317649072598,0.4875747507348057,0.0873969078083333,False
1234.0160009,1234.1680009,0.15199999999981628,1,0.5541956488546826,0.48959316424924115,0.14563808440833334,False
